INFO:root:Parameters: birth_rate=0.7 a=1.0, m=0.001 c=1.0, init_mode=random, grid_size=45, Variance: 242.16657903175866
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=0.001 c=9.0, init_mode=random, grid_size=45, Variance: 1091.737357317708
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=0.001 c=17.0, init_mode=random, grid_size=45, Variance: 4.519125611949847e+28
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=0.001 c=25.0, init_mode=random, grid_size=45, Variance: 1.1140915512238561e+30
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=3.334222222222222 c=1.0, init_mode=random, grid_size=45, Variance: 210.22074439886052
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=3.334222222222222 c=9.0, init_mode=random, grid_size=45, Variance: 2.6566761076297744e+29
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=3.334222222222222 c=17.0, init_mode=random, grid_size=45, Variance: 1672.4446882150608
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=3.334222222222222 c=25.0, init_mode=random, grid_size=45, Variance: 436.75507084431297
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=6.6674444444444445 c=1.0, init_mode=random, grid_size=45, Variance: 196.0508041386098
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=6.6674444444444445 c=9.0, init_mode=random, grid_size=45, Variance: 577.768072712127
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=6.6674444444444445 c=17.0, init_mode=random, grid_size=45, Variance: 1821.5095563998052
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=6.6674444444444445 c=25.0, init_mode=random, grid_size=45, Variance: 1.0625951172708968e+30
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=10.000666666666666 c=1.0, init_mode=random, grid_size=45, Variance: 1.4655060863681743e+30
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=10.000666666666666 c=9.0, init_mode=random, grid_size=45, Variance: 114.34004984908886
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=10.000666666666666 c=17.0, init_mode=random, grid_size=45, Variance: 495.7286107906334
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=10.000666666666666 c=25.0, init_mode=random, grid_size=45, Variance: 1517.216859418866
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=13.333888888888888 c=1.0, init_mode=random, grid_size=45, Variance: 3198.448138129092
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=13.333888888888888 c=9.0, init_mode=random, grid_size=45, Variance: 1478.129693138845
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=13.333888888888888 c=17.0, init_mode=random, grid_size=45, Variance: 109.41594520901586
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=13.333888888888888 c=25.0, init_mode=random, grid_size=45, Variance: 142.2800329600734
INFO:root:Parameters: birth_rate=0.7 a=1.0, m=16.66711111111111 c=1.0, init_mode=random, grid_size=45, Variance: 448.38252085675043
