INFO:root:Parameters: s_cones_init=1.0 m_cones_init=1.0, max_probability=0.01, grid_size=45, Variance: 1286.9727233986105
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=1.0, max_probability=2.5075, grid_size=45, Variance: 6.0173789429583425e+29
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=1.0, max_probability=5.005, grid_size=45, Variance: 1587.7752698559727
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=1.0, max_probability=7.5024999999999995, grid_size=45, Variance: 3391.0088862768375
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=1.0, max_probability=10.0, grid_size=45, Variance: 86096.53388697085
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=49.36842105263158, max_probability=0.01, grid_size=45, Variance: 265.7739173892917
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=49.36842105263158, max_probability=2.5075, grid_size=45, Variance: 478.20520296994124
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=49.36842105263158, max_probability=5.005, grid_size=45, Variance: 84924.83864394153
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=49.36842105263158, max_probability=7.5024999999999995, grid_size=45, Variance: 1.702423326752771e+29
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=49.36842105263158, max_probability=10.0, grid_size=45, Variance: 259.63818900833195
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=97.73684210526316, max_probability=0.01, grid_size=45, Variance: 310.79531369259223
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=97.73684210526316, max_probability=2.5075, grid_size=45, Variance: 2686.657098231321
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=97.73684210526316, max_probability=5.005, grid_size=45, Variance: 5250.748958211002
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=97.73684210526316, max_probability=7.5024999999999995, grid_size=45, Variance: 252.2593516799136
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=97.73684210526316, max_probability=10.0, grid_size=45, Variance: 2546.0653131266563
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=146.10526315789474, max_probability=0.01, grid_size=45, Variance: 869.0342101087642
